hash,type,geomatch,partial_match,addr,country,country_code,lat,lng
aea23666fc62478830b40fec67081942,administrative_area_level_1,APPROXIMATE,true,"Kerala, India",India,IN,10.5143884,76.6412712
8f898798c6f69940c99150b3a64b8a6d,street_address,ROOFTOP,true,"Max-von-Laue-Straße 7, 60438 Frankfurt, Germany",Germany,DE,50.1727700,8.6322900
ad35273edeb1f4db1e55606a45227af6,postal_code,APPROXIMATE,true,"Yanji, Yanbian, Jilin, People's Republic of China, 133002",China,CN,42.9103622,129.4851097
cc357d276e2995f69652fc626b5d1be7,locality,APPROXIMATE,true,"Hangzhou, Zhejiang, China",China,CN,30.2739780,120.1553610
4334065d7881a1cdb78b7e4292be8836,postal_code,APPROXIMATE,true,"Changshu, Suzhou, Jiangsu, People's Republic of China, 215500",China,CN,31.6437983,120.7436121
d2afc1a10e388b1176dd98873c178153,locality,APPROXIMATE,true,"Antofagasta, Chile",Chile,CL,-23.6239214,-70.4016127
257f9a294617005c9a62b7cba5181037,postal_code,APPROXIMATE,true,"Siming, Xiamen, Fujian, People's Republic of China, 361005",China,CN,24.4367256,118.1072136
f6cd4acbf9f3dd8e347415dfdfe1797e,administrative_area_level_1,APPROXIMATE,true,"São Paulo, Brazil",Brazil,BR,-21.9113305,-49.3653149
7be38e74b3fde3a99e9d4eb7548851d5,establishment,APPROXIMATE,true,"Alzahra University, Sherafat, Tehran, Iran",Iran,IR,35.7684366,51.3925045
1dcd92782c1812f8543540d34f42092b,locality,APPROXIMATE,true,"Granada, Spain",Spain,ES,37.1764874,-3.5979291
3df4b7d3d311ea35074f15aa5f9d0be4,postal_code,APPROXIMATE,true,"Hefei, Anhui, People's Republic of China, 230061",China,CN,31.8577760,117.2778158
fd946000db41d10cbc1b981b11bca91f,locality,APPROXIMATE,true,"Havana, Cuba",Cuba,CU,23.1168000,-82.3885570
52ff24f82d82461bbb7bf124cdf57429,postal_code,APPROXIMATE,true,"Wuhou, Chengdu, Sichuan, People's Republic of China, 610064",China,CN,30.6366008,104.0907325
7e5c3cc4d49fe6c6780b5eefc63066de,street_address,ROOFTOP,true,"2000 Pennington Rd, Ewing, NJ 08618, USA",United States,US,40.2714180,-74.7828470
9b5e3a0b3f6689cfc877a9c1fa26e38b,point_of_interest,APPROXIMATE,true,"Bahauddin Zakariya University, Pakistan",Pakistan,PK,30.2701722,71.5056249
9685ae914ca47067c8d88e51611625d1,postal_code,APPROXIMATE,true,"Florence, SC 29502, USA",United States,US,34.1955465,-79.8024289
5b4eec1712437d18b313c6824ccddab5,locality,APPROXIMATE,true,"Denizli/Denizli Province, Turkey",Turkey,TR,37.7765200,29.0863900
c157f663c02cb3d399a92913ecf911cf,establishment,APPROXIMATE,true,"University of Kentucky, 410 Administration Dr, Lexington, KY 40506, USA",United States,US,38.0268785,-84.5058135
88cb7ea2bf1b2c1081bca47c05fd6573,administrative_area_level_1,APPROXIMATE,true,"Santa Catarina, Brazil",Brazil,BR,-26.9285720,-49.3653149
6a2a66769b768c358a4380a40b271387,postal_code,APPROXIMATE,true,"Nankai, Tianjin, People's Republic of China, 300193",China,CN,39.1229070,117.1588198
6c56af5648d74418eed03427142be99e,postal_code,APPROXIMATE,true,"Erqi, Zhengzhou, Henan, People's Republic of China, 450052",China,CN,34.7425880,113.6405504
1b26ae0d8fe923cd278cd92df6c7d839,locality,APPROXIMATE,true,"Cali, Valle del Cauca, Colombia",Colombia,CO,3.4205556,-76.5222222
9da065b9ebd9a147780a318f6d151161,postal_code,APPROXIMATE,true,"Chuanhui, Zhoukou, Henan, People's Republic of China, 466001",China,CN,33.6310818,114.6497111
a0760bb2e228f4861c31953ac7c9287f,postal_code,APPROXIMATE,true,"Yanji, Yanbian, Jilin, People's Republic of China, 133002",China,CN,42.9103622,129.4851097
a311d6a421de5500de8d5661a3e97938,postal_code,APPROXIMATE,true,"Guilin, Guangxi, People's Republic of China, 541004",China,CN,25.2629580,110.3159875
0bbd8468734a94f073054a9da1b7bdcd,postal_code,APPROXIMATE,true,"Yanji, Yanbian, Jilin, People's Republic of China, 133002",China,CN,42.9103622,129.4851097
0940443491fe677294ec6463eea6bc3e,establishment,APPROXIMATE,true,"University of Oregon, 1585 E 13th Ave, Eugene, OR 97403-1279, USA",United States,US,44.0442758,-123.0724079
f732c412bfac069f1b068e6d3a483337,administrative_area_level_1,APPROXIMATE,true,"Kerala, India",India,IN,10.5143884,76.6412712
fc1bf8b150b504492d58696707d08e55,postal_code,APPROXIMATE,true,"4000, South Africa",South Africa,ZA,-29.8581870,31.0191751
990a6e0e38fb14a65b03d8e579eeb5e3,postal_code,APPROXIMATE,true,"Lanzhou, Gansu, People's Republic of China, 730000",China,CN,36.0556458,103.8565903
5c365f91801c9bc1627da612e948169f,postal_code,APPROXIMATE,true,"Tinghu, Yancheng, Jiangsu, People's Republic of China, 224051",China,CN,33.4341881,120.2337129
2b4970a0b8b693da391297fd6a7a120e,postal_code,APPROXIMATE,true,"Oxford OX1 3TA, UK",United Kingdom,GB,51.7571308,-1.2522020
b4be46030d57af0e8d35bc90556d1cbb,street_address,ROOFTOP,true,"Rennweg 14, 1030 Vienna, Austria",Austria,AT,48.1951999,16.3837089
d7f2e65f72558f0195839518977bc98f,postal_code,APPROXIMATE,true,"South Hadley, MA 01075, USA",United States,US,42.2582263,-72.5759201
d55ea55c677933a1be2d4fb2ac356195,postal_code,APPROXIMATE,true,"Kuiwen, Weifang, Shandong, People's Republic of China, 261061",China,CN,36.7169816,119.1668449
3c2668926cfa5dfc94bbf9fa64a8838f,postal_code,APPROXIMATE,true,"Chaoyang, Changchun, Jilin, People's Republic of China, 130000",China,CN,43.8927704,125.3242741
d5a0074bd65db64097820379d59314ea,locality,APPROXIMATE,true,"Antalya, Turkey",Turkey,TR,36.8841400,30.7056300
36e51d80514104d5c0c195a19d05bd9a,airport,APPROXIMATE,true,"Greater Rochester International Airport (ROC), 1200 Brooks Ave, Rochester, NY 14624, USA",United States,US,43.1173844,-77.6706964
6ba99719c59a1abfb150ba2666df0a87,postal_code,APPROXIMATE,true,"Anshan, Liaoning, People's Republic of China, 114051",China,CN,41.1078525,123.0682297
ed34919dc41f576078c9f8f22d17920f,postal_code,APPROXIMATE,true,"Guilin, Guangxi, People's Republic of China, 541004",China,CN,25.2629580,110.3159875
efffc578fd6eb16b6400ef1398fd91be,locality,APPROXIMATE,true,"Erzurum, Turkey",Turkey,TR,39.9043189,41.2678853
61b3dfd1a3a330f2f74946e0d5c34927,postal_code,APPROXIMATE,true,"Jianggan, Hangzhou, Zhejiang, People's Republic of China, 310018",China,CN,30.3160102,120.3739410
819b5df4ca5931a653ab0a80addc6236,postal_code,APPROXIMATE,true,"Luhe, Nanjing, Jiangsu, People's Republic of China, 210048",China,CN,32.2361410,118.7637851
f4004ec092486acbff6769a4de4e6d5e,point_of_interest,APPROXIMATE,true,"Lawrence Berkeley National Lab, Berkeley, CA 94720, USA",United States,US,37.8757341,-122.2485635
a4b4eb5fefa60e825d40352426866d16,administrative_area_level_1,APPROXIMATE,true,"Shanxi, People's Republic of China",China,CN,37.8733760,112.5625690
613b0977f89b6ca4dcfa6e26913e4aee,street_address,ROOFTOP,true,"3501 Fifth Ave, Pittsburgh, PA 15213, USA",United States,US,40.4410990,-79.9601010
4b1070366491cb09f95e790ceae7c7f1,postal_code,APPROXIMATE,true,"Xuhui, Shanghai, People's Republic of China, 200237",China,CN,31.1346328,121.4249525
740bb736ebfb466034ef4f56ae627bfb,postal_code,APPROXIMATE,true,"Beilin, Xi'an, Shaanxi, People's Republic of China, 710069",China,CN,34.2468560,108.9236575
3f53acbadd5fd3e32f3e043c27f3f078,postal_code,APPROXIMATE,true,"Chaoyang, Changchun, Jilin, People's Republic of China, 130012",China,CN,43.8421827,125.2827202
75073dbf80a1b89b3b89617011e090d7,postal_code,APPROXIMATE,true,"50674 Cologne, Germany",Germany,DE,50.9346454,6.9331365
31259dd3e5ced08c0e3962c6546450a5,point_of_interest,APPROXIMATE,true,"A. M. Jain College, Ambedkar St, Kanakammal Colony, Pazavanthangal, Tamil Nadu, India",India,IN,12.9840654,80.1786840
9b8e55143a07ab07811176b9b566e834,postal_code,APPROXIMATE,true,"Dinghai, Zhoushan, Zhejiang, People's Republic of China, 316000",China,CN,30.0145267,122.1022062
7dd86535f1c5aa3843f6263cc9fa608a,sublocality,APPROXIMATE,true,"Usm, George Town, Penang, Malaysia",Malaysia,MY,5.3567899,100.3038150
9d30057cb9afbea324b2b3fdbc193b5c,sublocality,APPROXIMATE,true,"Usm, George Town, Penang, Malaysia",Malaysia,MY,5.3567899,100.3038150
cdefcafd8fad4f420b4e020097eea0a3,locality,APPROXIMATE,true,"Mangalore, Karnataka, India",India,IN,12.8693600,74.8425600
7f9dd0f9a8c6690f9b44fbb8207d7818,administrative_area_level_1,APPROXIMATE,true,"Tamil Nadu, India",India,IN,11.1271225,78.6568942
9c9cff2e8ca34d0fdc4f5fd38a9f561c,postal_code,APPROXIMATE,true,"Boston, MA 02215, USA",United States,US,42.3426628,-71.0927886
b92a6192b1b4d968afa180f64a250ad5,locality,APPROXIMATE,true,"Stockholm County, Sweden",Sweden,SE,59.3327881,18.0644881
c3bc7c12435f917c8b1394d68783496f,postal_code,APPROXIMATE,true,"Liandu, Lishui, Zhejiang, People's Republic of China, 323000",China,CN,28.4526665,119.9194382
c350c3bd53bbd7e4eac4d6bf3d4d034d,postal_code,APPROXIMATE,true,"Johannesburg 2006, South Africa",South Africa,ZA,-26.1826300,28.0039700
60305c7e90988ed7af628c7f1dafc86f,postal_code,APPROXIMATE,true,"Changzhi, Shanxi, People's Republic of China, 046011",China,CN,36.2199760,113.1341411
0eb183e9af003f0c9319b0a621e497c8,postal_code,APPROXIMATE,true,"Changzhou, Jiangsu, People's Republic of China, 213003",China,CN,31.7525333,119.9517223
f832bd20864d63927f4518dafc8c6d28,postal_code,APPROXIMATE,true,"Luoyang, Henan, People's Republic of China, 471022",China,CN,34.6526030,112.4538893
03da963d118b05eb7860d79903de3855,street_address,ROOFTOP,true,"229 Main St, Keene, NH 03431, USA",United States,US,42.9252260,-72.2781520
18ecfee20fd10f31253a4c7a9cab3dd5,locality,APPROXIMATE,true,"Bab Ezzouar, Algeria",Algeria,DZ,36.7166670,3.1833330
68ecb13b801850362a702ec356636212,postal_code,APPROXIMATE,true,"Yuanzhou, Yichun, Jiangxi, People's Republic of China, 336000",China,CN,27.7962844,114.3839377
0ee9ffceb5594cdef0f29fb36905cc15,postal_code,APPROXIMATE,true,"Haidian, Beijing, People's Republic of China, 100081",China,CN,39.9532914,116.3060482
caaf8f0656049f12a4cd5b342a911cda,postal_code,APPROXIMATE,true,"Wuhan, Hubei, People's Republic of China, 430073",China,CN,30.5039660,114.4151432
